UCC,Ticker,ISIN,Direction,Quantity
CLIENT004,CDSL,INE736A01011,Buy,2875
CLIENT006,CDSL,INE736A01011,Buy,2600
CLIENT006,LTFOODS,INE818H01020,Sell,888
CLIENT006,PGEL,INE457L01029,Buy,323
CLIENT070,CDSL,INE736A01011,Buy,3633
CLIENT070,DOMS,INE321T01012,Buy,100
CLIENT070,ECLERX,INE738I01010,Buy,60
CLIENT070,JUBLPHARMA,INE700A01033,Buy,4428
CLIENT070,LTFOODS,INE818H01020,Sell,528
CLIENT070,NETWEB,INE0NT901020,Buy,546
CLIENT070,PAYTM,INE982J01020,Sell,3770
CLIENT070,PGEL,INE457L01029,Buy,342
CLIENT070,PRUDENT,INE00F201020,Buy,135
CLIENT070,SOLARA,INE624Z01016,Sell,1530
CLIENT070,VMART,INE665J01013,Buy,98
CLIENT1174,CDSL,INE736A01011,Buy,8125
CLIENT1174,DOMS,INE321T01012,Buy,320
CLIENT1174,ECLERX,INE738I01010,Buy,180
CLIENT1174,JUBLPHARMA,INE700A01033,Buy,12300
CLIENT1174,LTFOODS,INE818H01020,Sell,2220
CLIENT1174,NETWEB,INE0NT901020,Buy,1344
CLIENT1174,PAYTM,INE982J01020,Sell,14065
CLIENT1174,PGEL,INE457L01029,Buy,1444
CLIENT1174,PRUDENT,INE00F201020,Buy,495
CLIENT1174,SOLARA,INE624Z01016,Sell,4500
CLIENT1174,VMART,INE665J01013,Buy,294
CLIENT1176,CDSL,INE736A01011,Buy,3502
CLIENT1176,JUBLPHARMA,INE700A01033,Buy,123
CLIENT1176,NETWEB,INE0NT901020,Buy,252
CLIENT1176,PRUDENT,INE00F201020,Buy,30
CLIENT1176,VMART,INE665J01013,Buy,14
CLIENT1186,CDSL,INE736A01011,Buy,3500
CLIENT1186,JUBLPHARMA,INE700A01033,Buy,246
CLIENT1186,NETWEB,INE0NT901020,Buy,210
CLIENT1186,PRUDENT,INE00F201020,Buy,45
CLIENT1186,SOLARA,INE624Z01016,Sell,1080
CLIENT1188,CDSL,INE736A01011,Buy,3625
CLIENT1188,JUBLPHARMA,INE700A01033,Buy,333
CLIENT1188,NETWEB,INE0NT901020,Buy,210
CLIENT1188,PAYTM,INE982J01020,Sell,2030
CLIENT1188,PRUDENT,INE00F201020,Buy,30
CLIENT1202,CDSL,INE736A01011,Buy,6580
CLIENT1202,DOMS,INE321T01012,Buy,100
CLIENT1202,ECLERX,INE738I01010,Buy,60
CLIENT1202,JUBLPHARMA,INE700A01033,Buy,4551
CLIENT1202,LTFOODS,INE818H01020,Sell,228
CLIENT1202,NETWEB,INE0NT901020,Buy,756
CLIENT1202,PAYTM,INE982J01020,Sell,3625
CLIENT1202,PGEL,INE457L01029,Buy,190
CLIENT1202,PRUDENT,INE00F201020,Buy,150
CLIENT1202,SOLARA,INE624Z01016,Sell,1710
CLIENT1202,VMART,INE665J01013,Buy,126
CLIENT1203,CDSL,INE736A01011,Buy,11875
CLIENT1203,DOMS,INE321T01012,Buy,200
CLIENT1203,ECLERX,INE738I01010,Buy,70
CLIENT1203,JUBLPHARMA,INE700A01033,Buy,2583
CLIENT1203,LTFOODS,INE818H01020,Sell,720
CLIENT1203,NETWEB,INE0NT901020,Buy,1050
CLIENT1203,PAYTM,INE982J01020,Sell,2755
CLIENT1203,PGEL,INE457L01029,Buy,722
CLIENT1203,PRUDENT,INE00F201020,Buy,165
CLIENT1203,SOLARA,INE624Z01016,Sell,2160
CLIENT1203,VMART,INE665J01013,Buy,112
CLIENT1205,CDSL,INE736A01011,Buy,5125
CLIENT1205,DOMS,INE321T01012,Buy,300
CLIENT1205,ECLERX,INE738I01010,Buy,180
CLIENT1205,JUBLPHARMA,INE700A01033,Buy,18540
CLIENT1205,LTFOODS,INE818H01020,Sell,2820
CLIENT1205,NETWEB,INE0NT901020,Buy,1092
CLIENT1205,PAYTM,INE982J01020,Sell,12035
CLIENT1205,PGEL,INE457L01029,Buy,1843
CLIENT1205,PRUDENT,INE00F201020,Buy,435
CLIENT1205,SOLARA,INE624Z01016,Sell,4680
CLIENT1205,VMART,INE665J01013,Buy,294
CLIENT1211,CDSL,INE736A01011,Buy,6625
CLIENT1211,DOMS,INE321T01012,Buy,100
CLIENT1211,ECLERX,INE738I01010,Buy,70
CLIENT1211,JUBLPHARMA,INE700A01033,Buy,2106
CLIENT1211,LTFOODS,INE818H01020,Sell,360
CLIENT1211,NETWEB,INE0NT901020,Buy,798
CLIENT1211,PAYTM,INE982J01020,Sell,5220
CLIENT1211,PGEL,INE457L01029,Buy,228
CLIENT1211,PRUDENT,INE00F201020,Buy,135
CLIENT1211,SOLARA,INE624Z01016,Sell,1845
CLIENT1211,VMART,INE665J01013,Buy,126
CLIENT1218,CDSL,INE736A01011,Buy,4125
CLIENT1218,JUBLPHARMA,INE700A01033,Buy,123
CLIENT1218,NETWEB,INE0NT901020,Buy,336
CLIENT1218,SOLARA,INE624Z01016,Sell,90
CLIENT1243,CDSL,INE736A01011,Buy,3900
CLIENT1243,DOMS,INE321T01012,Buy,80
CLIENT1243,ECLERX,INE738I01010,Buy,60
CLIENT1243,JUBLPHARMA,INE700A01033,Buy,4551
CLIENT1243,LTFOODS,INE818H01020,Sell,444
CLIENT1243,NETWEB,INE0NT901020,Buy,588
CLIENT1243,PAYTM,INE982J01020,Sell,3770
CLIENT1243,PGEL,INE457L01029,Buy,266
CLIENT1243,PRUDENT,INE00F201020,Buy,120
CLIENT1243,SOLARA,INE624Z01016,Sell,1485
CLIENT1243,VMART,INE665J01013,Buy,98
CLIENT1356,CDSL,INE736A01011,Buy,1410
CLIENT1356,NETWEB,INE0NT901020,Buy,126
CLIENT004,RELIANCE,INE002A01018,Buy,575
CLIENT006,RELIANCE,INE002A01018,Buy,520
CLIENT070,RELIANCE,INE002A01018,Buy,726
CLIENT1174,RELIANCE,INE002A01018,Buy,1625
CLIENT1176,RELIANCE,INE002A01018,Buy,700
CLIENT1186,RELIANCE,INE002A01018,Buy,700
CLIENT1188,RELIANCE,INE002A01018,Buy,725
CLIENT1202,RELIANCE,INE002A01018,Buy,1316
CLIENT1203,RELIANCE,INE002A01018,Buy,2375
CLIENT1205,RELIANCE,INE002A01018,Buy,1025
CLIENT1211,RELIANCE,INE002A01018,Buy,1325
CLIENT1218,RELIANCE,INE002A01018,Buy,825
CLIENT1243,RELIANCE,INE002A01018,Buy,780
CLIENT1356,RELIANCE,INE002A01018,Buy,282
